organization,state,group1,records,year,source,group,Business Associate Present
Mercy Iowa City,IA,Healthcare Provider,92795,2020,Hacking,Email,No
The Guthrie Clinic,PA,Healthcare Provider,92064,2020,Hacking,Network Server,Yes
Washington State Health Care Authority (HCA),WA,Health Plan,91187,2016,Unauthorized Access,Email,No
Jacobi Medical Center,NY,Healthcare Provider,90060,2015,Unauthorized Access,Email,No
Grays Harbor Community Hospital,WA,Healthcare Provider,88399,2019,Hacking,Network Server,No
Trillium Community Health Plan,OR,Health Plan,87761,2021,Hacking,Network Server,Yes
Mount Sinai Health System,NY,Healthcare Provider,87535,2020,Hacking,Network Server,Yes
UMass Memorial Medical Center,MA,Healthcare Provider,87404,2020,Hacking,Network Server,Yes
The Union Labor Life Insurance Company,MD,Health Plan,87400,2019,Hacking,Email,No
"Southeast Eye Institute, P.A. dba eye Associates of Pinellas",FL,Healthcare Provider,87314,2016,Hacking,Network Server,Yes
SCAN Health Plan,CA,Health Plan,87069,2016,Unauthorized Access,Other,No
Geisinger,PA,Healthcare Provider,86412,2020,Hacking,Network Server,Yes
VisionQuest Eyecare,IN,Healthcare Provider,85995,2017,Hacking,Network Server,No
Dental Center of Northwest Ohio,OH,Healthcare Provider,85874,2019,Hacking,Network Server,Yes
SalusCare,FL,Healthcare Provider,85000,2021,Hacking,Email,No
"OH Muhlenberg, LLC ",KY,Healthcare Provider,84681,2015,Hacking,Computer ,No
Guidehouse,VA,Business Associate,84220,2021,Hacking,Other,Yes
Center for Orthopaedic Specialists - Providence Medical Institute (PMI),CA,Healthcare Provider,81550,2018,Hacking,Network Server,No
Lehigh Valley Health Network,PA,Healthcare Provider,81487,2020,Hacking,Network Server,Yes
City of Philadelphia Fire Department Emergency Medical Services Unit,PA,Healthcare Provider,81463,2015,Unauthorized Access,Computer ,Yes
Tennessee Orthopaedic Alliance ,TN,Healthcare Provider,81146,2020,Hacking,Email,No
Emblem Health - GHI,NY,Health Plan,81122,2016,Unauthorized Access,Network Server,No
"Community Health Network, Inc. ",IN,Healthcare Provider,81118,2020,Hacking,Network Server,Yes
Benefis Hospitals Inc,MT,Healthcare Provider,81043,2021,Hacking,Email,No
Howard University College of Dentistry,DC,Healthcare Provider,80915,2021,Hacking,Network Server,No
Washington University School of Medicine,MO,Healthcare Provider,80270,2017,Hacking,Email,No
California Health & Wellness,CA,Health Plan,80242,2021,Hacking,Network Server,Yes
Southeastern Minnesota Oral & Maxillofacial Surgery,MN,Healthcare Provider,80000,2019,Hacking,Network Server,No
CCPOA Benefit Trust Fund,CA,Health Plan,80000,2020,Hacking,Network Server,No
Hoboken Radiology LLC,NJ,Healthcare Provider,80000,2021,Hacking,Network Server,No
"Fertility Centers of Illinois, PLLC",IL,Healthcare Provider,79943,2021,Hacking,Network Server,No
Emory Healthcare ,GA,Healthcare Provider,79930,2017,Hacking,Network Server,No
"Gore Medical Management, LLC",GA,Healthcare Provider,79100,2021,Hacking,Computer ,No
Tennessee Rural Health Improvement Association,TN,Health Plan,79000,2015,Unauthorized Access,Other,No
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,78006,2021,Hacking,Network Server,Yes
"University Health Systems of Eastern Carolina, Inc. dba Vidant Health",NC,Healthcare Provider,77942,2020,Hacking,Network Server,Yes
"Ascend Clinical, LLC",CA,Healthcare Provider,77443,2020,Hacking,Email,No
Salina Family Healthcare Center,KS,Healthcare Provider,77337,2017,Hacking,Computer ,No
Mid-Delaware Imaging,DE,Healthcare Provider,77110,2020,Unauthorized Access,Network Server,No
"Leon Medical Centers, LLC",FL,Healthcare Provider,76661,2021,Hacking,Network Server,No
Magellan Complete Care of Florida,FL,Health Plan,76236,2020,Hacking,Email,No
Montefiore Medical Center ,NY,Healthcare Provider,76068,2020,Hacking,Network Server,Yes
"CareSouth Carolina, Inc.",SC,Healthcare Provider,76035,2021,Hacking,Network Server,Yes
"Las Colinas Orthopedic Surgery & Sports Medicine, PA",TX,Healthcare Provider,76000,2019,Theft/Loss,Computer,Yes
Munson Healthcare,MI,Healthcare Provider,75202,2020,Hacking,Email,No
Stephenville Medical & Surgical Clinic,TX,Healthcare Provider,75000,2017,Unauthorized Access,Computer ,No
Atlantic Medical Imaging,NJ,Healthcare Provider,74877,2020,Hacking,Email,No
South Shore Hospital,MA,Healthcare Provider,74328,2020,Hacking,Network Server,Yes
Arizona Endocrinology Center,AZ,Healthcare Provider,74122,2020,Unauthorized Access,Network Server,No
"Agency for Community Treatment Services, Inc.",FL,Healthcare Provider,73825,2021,Hacking,Network Server,No
Memorial Sloan Kettering Cancer Center ,NY,Healthcare Provider,73536,2020,Hacking,Network Server,Yes
"Rutland Hospital, Inc. d/b/a/ Rutland Regional Medical Center  ",VT,Healthcare Provider,72224,2019,Hacking,Email,No
Walgreen Co.,IL,Healthcare Provider,72143,2020,Theft/Loss,Computer,No
Sentara Healthcare,VA,Healthcare Provider,72121,2021,Hacking,Network Server,Yes
Joslin Diabetes Center ,MA,Healthcare Provider,71160,2020,Hacking,Network Server,Yes
Summit Behavioral Healthcare,TN,Healthcare Provider,70822,2021,Unauthorized Access,Email,No
Valley Hope Association,KS,Healthcare Provider,70799,2019,Hacking,Email,No
Arizona Asthma and Allergy Institute,AZ,Healthcare Provider,70372,2021,Hacking,Network Server,No
"Tufts Associated Health Maintenance Organization, Inc.",MA,Health Plan,70320,2018,Unauthorized Access,Paper/Films,Yes
Allergy and Asthma Clinic of Fort Worth,TX,Healthcare Provider,69777,2020,Hacking,Network Server,No
North East Medical Services (NEMS),CA,Healthcare Provider,69246,2015,Theft/Loss,Computer ,No
Sonoma Valley Healthcare District,CA,Healthcare Provider,69000,2021,Hacking,Email,No
San Juan Regional Medical Center,NM,Healthcare Provider,68792,2021,Hacking,Network Server,No
Advocate Aurora Health ,WI,Healthcare Provider,68707,2021,Hacking,Network Server,Yes
"Medical Colleagues of Texas, LLP ",TX,Healthcare Provider,68631,2016,Hacking,Network Server,No
"The Methodist Hospitals, Inc.",IN,Healthcare Provider,68039,2019,Hacking,Email,No
Burrell Behavioral Health,MO,Healthcare Provider,67493,2019,Hacking,Network Server,Yes
Ophthalmology Associates,MN,Healthcare Provider,67000,2021,Hacking,Network Server,No
South Country Health Alliance ,MN,Health Plan,66874,2021,Hacking,Email,No
Morehead Memorial Hospital,NC,Healthcare Provider,66000,2017,Hacking,Email,No
Children's Mercy Hospital,MO,Healthcare Provider,65930,2018,Hacking,Email,No
Mobile Anesthesiologists ,IL,Healthcare Provider,65403,2021,Hacking,Network Server,No
Maxim Healthcare Group,MD,Healthcare Provider,65267,2021,Hacking,Email,No
"Elderplan, Inc. ",NY,Health Plan,65235,2017,Hacking,Email,No
Renown Health,NV,Healthcare Provider,65181,2021,Hacking,Network Server,Yes
"East Valley Community Health Center, Inc.",CA,Healthcare Provider,65000,2016,Hacking,Network Server,No
"Primary Care Specialists, Inc.",TN,Healthcare Provider,65000,2017,Hacking,Network Server,No
Minnesota Community Care,MN,Healthcare Provider,64855,2021,Hacking,Network Server,Yes
Burke Rehabilitation Hospital,NY,Healthcare Provider,64840,2020,Hacking,Network Server,Yes
Humana Inc,KY,Health Plan,64654,2021,Unauthorized Access,Network Server,Yes
McLaren Health Care Corporation,MI,Healthcare Provider,64600,2021,Hacking,Network Server,Yes
"The Oregon Clinic, P.C. ",OR,Healthcare Provider,64487,2018,Hacking,Email,No
Urgent Care Clinic of Oxford,MS,Healthcare Provider,64000,2016,Hacking,Network Server,No
Florida Agency for Persons with Disabilities,FL,Health Plan,63627,2018,Hacking,Email,No
"NCH Healthcare System, Inc. ",FL,Healthcare Provider,63581,2020,Hacking,Email,No
Middletown Medical P.C.,NY,Healthcare Provider,63551,2018,Unauthorized Access,Network Server,No
"St.Vincent Hospital and Health Care Center, Inc.",IN,Healthcare Provider,63325,2015,Unauthorized Access,Paper/Films,No
True Health New Mexico,NM,Health Plan,62983,2021,Hacking,Network Server,No
"CodeMetro, Inc.",CA,Business Associate,62807,2020,Hacking,Network Server,Yes
"Coastal Family Health Center, Inc",MS,Healthcare Provider,62342,2021,Hacking,Network Server,No
Adventist Health Simi Valley,CA,Healthcare Provider,62000,2019,Hacking,Email,No
Main Line Health,PA,Healthcare Provider,60595,2020,Hacking,Network Server,Yes
Tufts Health Plan,MA,Health Plan,60545,2021,Hacking,Email,Yes
Outreach Health Services,TX,Healthcare Provider,60414,2019,Hacking,Email,No
"SOLO Laboratories, Inc.",PA,Business Associate,60000,2020,Hacking,Network Server,Yes
Ohio Department of Mental Health and Addiction Services,OH,Healthcare Provider,59000,2016,Unauthorized Access,Paper/Films,No
"Bruce L. Boros, M.D., P.A. DBA Advanced Urgent Care",FL,Healthcare Provider,58823,2020,Hacking,Network Server,No
"Specialized Alternatives for Families & Youth of America, Inc.",OH,Business Associate,58123,2021,Hacking,Email,Yes
"New England Dermatology and Laser Center, P.C.",MA,Healthcare Provider,58106,2021,Improper Disposal,Paper/Films,No
Louisiana State University- Health Care Services Division,LA,Healthcare Provider,58005,2020,Hacking,Email,No
Healthcare Fiscal Management Inc.,NC,Business Associate,58000,2020,Hacking,Network Server,Yes
AFTRA Retirement Fund,NY,Business Associate,57900,2020,Hacking,Network Server,Yes
TriValley Primary Care,PA,Healthcare Provider,57468,2021,Hacking,Network Server,No
Affordacare Urgent Care Clinics,TX,Healthcare Provider,57411,2020,Hacking,Network Server,No
Sturdy Memorial Hospital,MA,Healthcare Provider,57379,2021,Hacking,Network Server,No
Assistcare Home Health Services LLC dba Preferred Home Care of NY/Preferred Gold,NY,Healthcare Provider,57345,2021,Hacking,Network Server,No
San Andreas Regional Center,CA,Business Associate,57244,2021,Hacking,Network Server,Yes
Beebe Medical Foundation,DE,Healthcare Provider,56953,2021,Hacking,Network Server,Yes
Boston Baskin Cancer Foundation,TN,Healthcare Provider,56694,2015,Theft/Loss,Computer,No
Enterprise Services LLC,IN,Business Associate,56075,2017,Unauthorized Access,Network Server,Yes
Northwestern Memorial HealthCare,IL,Healthcare Provider,55983,2020,Hacking,Network Server,Yes
Dignity Health,CA,Healthcare Provider,55947,2018,Unauthorized Access,Email,Yes
Horizon Healthcare Services Inc. doing business as Horizon Blue Cross Blue Shield of New Jersey and its affiliates,NJ,Health Plan,55700,2016,Unauthorized Access,Paper/Films,No
Magellan Healthcare,MD,Business Associate,55637,2019,Hacking,Email,Yes
"ABCD Pediatrics, P.A.",TX,Healthcare Provider,55447,2017,Hacking,Network Server,No
Medical University of South Carolina,SC,Healthcare Provider,54869,2020,Hacking,Network Server,Yes
"LCP Transportation, Inc",IN,Business Associate,54528,2019,Hacking,Email,Yes
Molina Healthcare,CA,Health Plan,54203,2015,Theft/Loss,Computer ,Yes
Riverside Health System,VA,Healthcare Provider,54151,2020,Hacking,Network Server,Yes
UF Health Jacksonville,FL,Healthcare Provider,54002,2020,Hacking,Email,Yes
OSF HealthCare System,IL,Healthcare Provider,53907,2021,Hacking,Network Server,No
Onco360 and CareMed Specialty Pharmacy ,KY,Healthcare Provider,53173,2018,Hacking,Email,No
Regions Hospital,MN,Healthcare Provider,52795,2020,Hacking,Network Server,Yes
Spectrum Health,MI,Healthcare Provider,52711,2020,Hacking,Network Server,Yes
USA Health,AL,Healthcare Provider,52344,2020,Hacking,Network Server,Yes
Self Regional Healthcare,SC,Healthcare Provider,52327,2019,Hacking,Email,No
Valley Hope Association ,KS,Healthcare Provider,52076,2016,Theft/Loss,Computer ,No
Network Health,WI,Health Plan,51232,2017,Hacking,Email,No
"Centerstone of Tennessee, Inc.",TN,Healthcare Provider,50965,2021,Hacking,Email,No
WellCare Health Plans,FL,Health Plan,50440,2020,Unauthorized Access,Paper/Films,No
Magellan Healthcare,MD,Business Associate,50410,2020,Hacking,Email,Yes
"Nissan North America, Inc. ",TN,Health Plan,50410,2021,Hacking,Email,Yes
"Bansley and Kiener, LLP",IL,Business Associate,50119,2021,Hacking,Network Server,Yes
Lancaster County EMS,SC,Healthcare Provider,50000,2015,Improper Disposal,Computer,No
AT&T Group Health Plan,TX,Health Plan,50000,2015,Hacking,Network Server,No
"Metropolitan Jewish Health System, Inc. d/b/a MJHS",NY,Business Associate,50000,2016,Hacking,Email,Yes
"Delaware Guidance Services for Children and Youth, Inc.",DE,Healthcare Provider,50000,2019,Hacking,Computer ,No
"Francisco J. Pabalan MD, INC",CA,Healthcare Provider,50000,2021,Hacking,Network Server,No
"LifeBridge Community Gastroenterology, LLC dba Woodholme Gastroenterology",MD,Healthcare Provider,50000,2021,Hacking,Network Server,No
PeakTPA,MO,Business Associate,50000,2021,Hacking,Network Server,Yes
Nevada Orthopedic & Spine Center,NV,Healthcare Provider,50000,2021,Hacking,Network Server,Yes
Douglas County Hospital dba Alomere Health,MN,Healthcare Provider,49859,2020,Hacking,Email,No
"Fisher Titus Health, Inc.",OH,Health Plan,49636,2021,Hacking,Email,No
Broward County Public Schools,FL,Health Plan,49608,2021,Hacking,Network Server,No
Providence Health Plan,OR,Health Plan,49511,2020,Unauthorized Access,Network Server,Yes
"Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan",IL,Health Plan,49000,2021,Hacking,Network Server,No
CarePointe ENT,IN,Healthcare Provider,48742,2021,Hacking,Network Server,No
Lavaca Medical Center,TX,Healthcare Provider,48705,2021,Hacking,Network Server,No
"Consociate, Inc.",IL,Business Associate,48583,2021,Hacking,Network Server,Yes
Wolverine Solutions Group,MI,Business Associate,48471,2019,Hacking,Computer ,Yes
South Florida Community Care Network LLC d/b/a Community Care Plan,FL,Health Plan,48344,2021,Unauthorized Access,Email,No
CHI Health Orthopedics Clinic -Lakeside,NE,Healthcare Provider,48000,2019,Hacking,Computer ,No
Baylor Scott & White Medical Center - Frisco,TX,Healthcare Provider,47984,2018,Hacking,Network Server,Yes
American Medical Technologies ,CA,Healthcare Provider,47767,2020,Hacking,Network Server,No
"Doctors Health Group, Inc.",AR,Healthcare Provider,47660,2021,Hacking,Network Server,Yes
"Hospice & Palliative Care Buffalo, Inc.  ",NY,Healthcare Provider,47272,2020,Hacking,Network Server,Yes
Electromed,MN,Healthcare Provider,47200,2021,Hacking,Network Server,No
Covenant HealthCare,MI,Healthcare Provider,47178,2021,Hacking,Email,No
"Professional Dental Alliance, LLC",PA,Healthcare Provider,47173,2021,Unauthorized Access,Email,No
LogicGate,IL,Business Associate,47035,2021,Hacking,Network Server,Yes
Oklahoma Department of Human Services,OK,Health Plan,47000,2017,Hacking,Network Server,Yes
Torrance Memorial Medical Center,CA,Healthcare Provider,46632,2017,Hacking,Email,No
Kilgore Vision Center,AR,Healthcare Provider,46353,2019,Hacking,Network Server,No
JDC Healthcare Management,TX,Healthcare Provider,45748,2020,Hacking,Email,No
Georgia Department of Human Services ,GA,Healthcare Clearing House,45732,2021,Hacking,Email,No
"Baywood Medical Associates, PLC dba Desert Pain Institute",AZ,Healthcare Provider,45262,2021,Hacking,Network Server,No
Neighborhood Healthcare,CA,Healthcare Provider,45200,2021,Hacking,Network Server,Yes
Florida Heart Associates,FL,Healthcare Provider,45148,2021,Hacking,Network Server,No
"Medsurant Holdings, LLC",PA,Healthcare Provider,45000,2021,Hacking,Network Server,No
Talbert House,OH,Healthcare Provider,45000,2021,Hacking,Network Server,No
"Prominence Health Plan	",NV,Health Plan,45000,2021,Hacking,Other,No
"Blue Springs Family Care, P.C.",MO,Healthcare Provider,44979,2018,Hacking,Network Server,No
Rush University Medical Center,IL,Healthcare Provider,44924,2019,Unauthorized Access,Network Server,Yes
GOLDEN HEART ADMINISTRATIVE PROFESSIONALS,AK,Business Associate,44600,2018,Hacking,Network Server,Yes
Veterans Health Administration,DC,Healthcare Provider,44308,2020,Hacking,Network Server,No
NYU Langone Hospitals ,NY,Healthcare Provider,44009,2020,Hacking,Network Server,Yes
Eye Institute of Corpus Christi,TX,Healthcare Provider,43961,2016,Theft/Loss,Network Server,No
"Aspire Indiana, Inc.",IN,Healthcare Provider,43890,2015,Theft/Loss,Computer ,No
NYC Health + Hospitals,NY,Healthcare Provider,43727,2021,Hacking,Network Server,Yes
Austin Pathology,TX,Healthcare Provider,43676,2019,Hacking,Network Server,No
Community Medical Centers,CA,Healthcare Provider,43667,2020,Hacking,Network Server,Yes
Henry Ford Health System,MI,Healthcare Provider,43563,2017,Hacking,Email,No
Freelancers Insurance Company,NY,Health Plan,43068,2015,Hacking,Network Server,No
Coplin Health Systems,WV,Healthcare Provider,43000,2018,Theft/Loss,Computer ,No
Aultman Hospital,OH,Healthcare Provider,42625,2018,Hacking,Email,No
Oregon Eye Specialists,OR,Healthcare Provider,42612,2021,Hacking,Network Server,No
"UofL Health, Inc.",KY,Healthcare Provider,42465,2021,Unauthorized Access,Email,No
"Alliance Health Networks, LLC",UT,Healthcare Provider,42372,2016,Hacking,Network Server,No
Holland Eye Surgery and Laser Center,MI,Healthcare Provider,42200,2018,Hacking,Computer ,No
AdventHealth Medical Group,FL,Healthcare Provider,42161,2019,Hacking,Network Server,No
"Health First, Inc",FL,Healthcare Provider,42000,2018,Hacking,Email,No
Cancer Treatment Centers of America (CTCA) at Western Regional Medical Center,AZ,Healthcare Provider,41948,2018,Hacking,Email,No
"Greigh I. Hirata M.D. Inc, dba. Fetal Diagnostic Institute of the Pacific",HI,Healthcare Provider,40800,2018,Hacking,Network Server,No
MedWatch LLC,FL,Business Associate,40621,2018,Unauthorized Access,Network Server,Yes
Stamford Podiatry Group .P.C,CT,Healthcare Provider,40491,2016,Hacking,Network Server,No
"The Board of Trustees of Southern Illinois University, for and on behalf of its School of Medicine, and SIU Physicians & Surgeons, Inc. ",IL,Healthcare Provider,40330,2021,Hacking,Network Server,No
Peoples Community Health Clinic,IA,Healthcare Provider,40084,2021,Hacking,Email,No
"Oprex Surgery (Baytown), L.P. d/b/a Altus Baytown Hospital",TX,Healthcare Provider,40000,2018,Hacking,Computer ,No
"Reproductive Medicine and Infertility Associates, P.A.",MN,Healthcare Provider,40000,2019,Hacking,Computer ,No
Sarasota MRI ,FL,Healthcare Provider,39962,2021,Unauthorized Access,Network Server,No
Nebraska Methodist Health System,NE,Healthcare Provider,39912,2021,Hacking,Network Server,Yes
Methodist Hospital of Southern California,CA,Healthcare Provider,39881,2020,Hacking,Network Server,Yes
One Community Health,OR,Healthcare Provider,39865,2021,Hacking,Network Server,No
Shields Health Solutions,MA,Business Associate,39762,2020,Hacking,Email,Yes
Ameritas Life Insurance Corp.,NE,Health Plan,39675,2019,Hacking,Email,No
"Adirondacks ACO, LLC",NY,Business Associate,39649,2019,Hacking,Email,Yes
"Jones Eye Center, P.C.",IA,Healthcare Provider,39605,2018,Hacking,Network Server,No
"Sandhills Medical Foundation, Inc.",SC,Healthcare Provider,39602,2021,Hacking,Network Server,Yes
"MedQuest Pharmacy, Inc.",UT,Healthcare Provider,39447,2021,Hacking,Network Server,No
Washington County School District,UT,Business Associate,39317,2021,Hacking,Network Server,Yes
Hand to Shoulder Specialists of Wisconsin Ltd.,WI,Healthcare Provider,39317,2021,Hacking,Network Server,No
"ProPath Services, LLC",TX,Healthcare Provider,39213,2021,Hacking,Email,No
University Hopsital,NJ,Healthcare Provider,39207,2021,Hacking,Network Server,No
Seton Family of Hospitals,TX,Healthcare Provider,39000,2015,Hacking,Email,No
"Personal Touch Home Aides of New York, Inc.",NY,Healthcare Provider,38693,2020,Hacking,Network Server,Yes
Golden Valley Health Centers,CA,Healthcare Provider,38628,2020,Hacking,Email,No
BioTel Heart,PA,Healthcare Provider,38575,2021,Hacking,Network Server,Yes
Saint Francis Healthcare Partners,CT,Business Associate,38529,2020,Hacking,Email,Yes
"Metro Presort, Inc. ",OR,Business Associate,38387,2021,Hacking,Network Server,Yes
Indiana State Medical Association,IN,Health Plan,38351,2015,Theft/Loss,Computer,No
Superior Dental Care Alliance,OH,Business Associate,38260,2019,Hacking,Email,Yes
Superior Dental Care,OH,Health Plan,38260,2019,Hacking,Email,No
Legacy Health,OR,Healthcare Provider,38000,2018,Hacking,Email,No
"Reproductive Biology Associates, LLC and its affiliate My Egg Bank, LLC",GA,Healthcare Provider,38000,2021,Hacking,Network Server,No
Sincera Reproductive Medicine,PA,Healthcare Provider,37989,2021,Hacking,Network Server,No
Children's Minnesota,MN,Healthcare Provider,37942,2019,Unauthorized Access,Network Server,No
Premier Management Company ,TX,Healthcare Provider,37636,2021,Unauthorized Access,Computer ,No
Crystal Lake Clinic PC,MI,Healthcare Provider,37331,2021,Hacking,Network Server,No
"University of Maryland, Baltimore ",MD,Business Associate,37263,2021,Hacking,Network Server,Yes
Gold Coast Health Plan,CA,Business Associate,37005,2018,Hacking,Email,Yes
Conway Regional Health System,AR,Healthcare Provider,37000,2019,Hacking,Email,No
Connecticut Department of Social Services,CT,Health Plan,36915,2021,Hacking,Email,No
Good Health Medical dba MY DR NOW,AZ,Healthcare Provider,36781,2021,Hacking,Network Server,No
Texas Tech University Health Sciences Center,TX,Healthcare Provider,36739,2020,Hacking,Network Server,Yes
"Central Texas Medical Specialists, PLLC dba Austin Cancer Centers",TX,Healthcare Provider,36503,2021,Hacking,Network Server,No
Vascular Surgical Associates,GA,Healthcare Provider,36496,2016,Hacking,Network Server,No
"Open Door Family Medical Center, Inc.",NY,Healthcare Provider,36474,2021,Hacking,Email,No
"Triple-S Advantage, Inc. ",,Health Plan,36305,2018,Unauthorized Access,Paper/Films,No
Catholic Charities Diocese of San Diego,CA,Business Associate,36205,2020,Hacking,Network Server,Yes
The University of Pittsburgh Medical Center,PA,Healthcare Provider,36086,2021,Hacking,Email,Yes
Central California Alliance for Health,CA,Health Plan,35940,2020,Hacking,Email,No
Wise Health System ,TX,Healthcare Provider,35899,2019,Hacking,Email,No
Otis R. Bowen Center for Human Services,IN,Healthcare Provider,35804,2020,Hacking,Email,No
"A2Z Diagnostics, LLC",NJ,Healthcare Provider,35587,2021,Hacking,Email,No
"Oral and Maxillofacial Surgery Associates, P.A.",SC,Healthcare Provider,35498,2020,Hacking,Computer ,No
"Healthgrades Operating Company, Inc.",GA,Business Associate,35485,2021,Hacking,Email,Yes
State of North Dakota,ND,Healthcare Provider,35416,2021,Hacking,Email,No
Keenan & Associates,CA,Business Associate,35404,2015,Unauthorized Access,Network Server,Yes
Roper St. Francis Healthcare,SC,Healthcare Provider,35253,2019,Hacking,Email,No
